CUSTOMERID,APPID,OS,PROTECTEDBUILDIDENTIFIER,GEOIP_COUNTRYNAME,GEOIP_TZ,INGESTTIME_HOUR,COUNT_APPLICATIONFIRSTRUN,COUNT_ROOTINGDETECTED,COUNT_DEBUGGERDETECTED,COUNT_OVERLAYDETECTED,COUNT_APPLICATIONOPENED,COUNT_BOOTLOADERUNLOCKDETECTED,COUNT_TAMPERINGDETECTED,COUNT_HOOKINGDETECTED,COUNT_GENERICINFORMATIONUPDATE,COUNT_EMULATORDETECTED,IS_ANOMALY
CUST_000,APP_004,Windows,BUILD_005,Anguilla,Africa/Gaborone,2024-11-19 03:00:00,5,0,0,0,6,1,0,1,1,0,0
CUST_000,APP_004,Windows,BUILD_009,Mayotte,Asia/Tokyo,2024-11-18 18:00:00,4,0,0,0,4,0,0,0,4,0,0
CUST_002,APP_009,iOS,BUILD_011,Bosnia and Herzegovina,Asia/Dushanbe,2024-11-18 21:00:00,4,0,0,0,8,0,0,0,0,0,0
CUST_001,APP_009,Windows,BUILD_003,Saint Vincent and the Grenadines,Europe/Malta,2024-11-19 07:00:00,5,0,0,0,5,0,0,0,2,0,0
CUST_001,APP_007,Android,BUILD_007,Falkland Islands (Malvinas),Europe/Istanbul,2024-11-18 13:00:00,5,0,0,0,1,0,1,0,5,0,0
CUST_001,APP_002,Windows,BUILD_005,Benin,Asia/Tokyo,2024-11-18 18:00:00,3,0,0,0,2,0,0,0,3,0,0
CUST_000,APP_007,iOS,BUILD_002,Burundi,Africa/Tripoli,2024-11-19 06:00:00,5,0,0,0,3,0,0,0,3,0,0
CUST_004,APP_008,Windows,BUILD_006,Northern Mariana Islands,Indian/Mauritius,2024-11-18 17:00:00,4,0,0,0,6,0,0,1,2,1,0
CUST_000,APP_007,Windows,BUILD_005,Mayotte,Africa/Lome,2024-11-18 16:00:00,6,0,0,0,8,0,0,0,4,0,0
CUST_004,APP_005,Android,BUILD_004,Czech Republic,Africa/Conakry,2024-11-18 21:00:00,7,0,0,0,4,0,0,0,3,0,0
CUST_003,APP_005,iOS,BUILD_011,Nauru,Asia/Dushanbe,2024-11-18 15:00:00,2,0,0,0,3,0,1,0,0,0,0
CUST_000,APP_008,Windows,BUILD_011,Saint Pierre and Miquelon,Europe/Minsk,2024-11-18 12:00:00,5,0,0,0,6,0,0,0,1,0,0
CUST_000,APP_008,Windows,BUILD_010,Jamaica,Asia/Dushanbe,2024-11-18 15:00:00,5,0,0,0,6,0,0,0,6,0,0
CUST_000,APP_006,iOS,BUILD_007,Falkland Islands (Malvinas),Indian/Mauritius,2024-11-18 17:00:00,6,0,0,0,8,0,0,0,4,0,0
CUST_001,APP_007,Windows,BUILD_009,Saint Vincent and the Grenadines,Africa/Dar_es_Salaam,2024-11-18 22:00:00,4,0,0,0,6,0,0,0,5,0,0
CUST_001,APP_005,iOS,BUILD_012,Bouvet Island (Bouvetoya),Europe/Minsk,2024-11-18 19:00:00,6,0,0,0,6,0,0,0,3,0,0
CUST_004,APP_003,iOS,BUILD_003,Bosnia and Herzegovina,Africa/Mogadishu,2024-11-18 15:00:00,6,0,0,0,5,0,0,0,3,0,0
CUST_004,APP_003,Android,BUILD_005,Uganda,Africa/Dar_es_Salaam,2024-11-18 15:00:00,1,0,0,0,4,0,0,0,0,0,0
CUST_000,APP_009,Windows,BUILD_006,Saint Pierre and Miquelon,Europe/Riga,2024-11-18 18:00:00,7,0,0,0,5,0,0,0,2,0,0
CUST_004,APP_006,iOS,BUILD_004,Philippines,America/St_Vincent,2024-11-19 02:00:00,2,0,0,0,5,0,0,0,2,0,0
CUST_001,APP_003,iOS,BUILD_013,Ecuador,Europe/Monaco,2024-11-19 00:00:00,11,1,0,0,6,0,0,0,3,0,0
CUST_004,APP_006,iOS,BUILD_012,Ecuador,Europe/Istanbul,2024-11-18 20:00:00,4,0,0,0,11,0,0,0,1,0,0
CUST_003,APP_000,Android,BUILD_006,Czech Republic,Africa/Gaborone,2024-11-18 18:00:00,3,0,0,0,8,0,1,0,5,0,0
CUST_001,APP_005,Windows,BUILD_005,Anguilla,Asia/Kabul,2024-11-19 04:00:00,8,0,0,0,7,0,0,0,7,0,0
CUST_003,APP_007,Android,BUILD_001,Philippines,Africa/Khartoum,2024-11-19 09:00:00,3,0,0,0,7,0,0,0,3,0,0
CUST_004,APP_006,Android,BUILD_014,Anguilla,Africa/Conakry,2024-11-18 21:00:00,3,0,0,0,4,0,0,0,2,0,0
CUST_002,APP_006,iOS,BUILD_009,Northern Mariana Islands,Indian/Mauritius,2024-11-19 02:00:00,5,0,0,0,8,0,0,0,4,0,0
CUST_000,APP_002,iOS,BUILD_003,Anguilla,Africa/Banjul,2024-11-19 00:00:00,8,1,0,0,6,0,0,0,1,0,0
CUST_001,APP_007,iOS,BUILD_009,Uganda,Africa/Casablanca,2024-11-18 22:00:00,3,0,0,0,2,0,0,0,0,0,0
CUST_003,APP_000,iOS,BUILD_008,Falkland Islands (Malvinas),Europe/Malta,2024-11-19 03:00:00,2,0,0,0,4,0,0,0,2,0,0
CUST_002,APP_002,Android,BUILD_002,Czech Republic,Africa/Banjul,2024-11-19 07:00:00,5,0,0,0,0,1,0,0,2,0,0
CUST_002,APP_008,iOS,BUILD_010,Northern Mariana Islands,Africa/Khartoum,2024-11-19 02:00:00,3,0,0,0,6,0,1,0,0,0,0
CUST_001,APP_009,Windows,BUILD_012,Benin,Africa/Banjul,2024-11-19 11:00:00,8,0,0,0,0,0,0,0,2,0,0
CUST_001,APP_005,Android,BUILD_008,Saint Pierre and Miquelon,Europe/Malta,2024-11-19 11:00:00,10,0,0,0,7,0,0,1,0,0,0
CUST_002,APP_001,iOS,BUILD_000,Nauru,Europe/Berlin,2024-11-18 19:00:00,3,0,0,0,9,0,1,0,1,0,0
CUST_000,APP_007,Windows,BUILD_011,Mayotte,Africa/Gaborone,2024-11-19 07:00:00,2,0,0,0,7,0,0,0,0,0,0
CUST_000,APP_001,iOS,BUILD_007,Bermuda,Africa/Gaborone,2024-11-19 00:00:00,5,0,0,0,2,0,1,0,2,0,1
CUST_003,APP_008,Windows,BUILD_011,Bermuda,Asia/Dhaka,2024-11-19 02:00:00,7,0,1,0,4,0,1,0,1,0,0
CUST_000,APP_007,iOS,BUILD_003,Bouvet Island (Bouvetoya),Africa/Khartoum,2024-11-18 20:00:00,6,0,0,0,8,0,0,0,1,0,0
CUST_002,APP_000,iOS,BUILD_007,Mayotte,Asia/Kabul,2024-11-18 18:00:00,6,0,0,0,5,0,0,0,0,0,1
CUST_002,APP_002,Android,BUILD_012,Uganda,Africa/Casablanca,2024-11-19 11:00:00,2,0,0,0,5,0,0,0,0,0,0
CUST_004,APP_006,iOS,BUILD_004,Mayotte,Europe/Luxembourg,2024-11-18 13:00:00,4,0,0,0,6,0,0,0,1,0,0
CUST_002,APP_002,Windows,BUILD_013,Benin,Europe/Riga,2024-11-18 20:00:00,9,0,1,0,2,0,0,0,0,0,0
CUST_000,APP_001,Windows,BUILD_011,Philippines,Indian/Mauritius,2024-11-18 20:00:00,7,0,0,0,4,0,0,0,7,0,1
CUST_003,APP_007,Android,BUILD_001,Northern Mariana Islands,Indian/Mauritius,2024-11-19 02:00:00,11,0,0,0,7,0,0,0,1,0,0
CUST_004,APP_004,iOS,BUILD_013,Mayotte,Asia/Kabul,2024-11-19 11:00:00,8,0,0,0,3,0,0,0,4,0,0
CUST_000,APP_005,Android,BUILD_013,Burundi,America/St_Vincent,2024-11-18 22:00:00,3,0,0,0,6,0,0,0,2,0,0
CUST_003,APP_009,iOS,BUILD_012,Anguilla,Europe/Luxembourg,2024-11-19 02:00:00,2,0,0,0,2,0,0,0,4,0,0
CUST_000,APP_006,Android,BUILD_012,Falkland Islands (Malvinas),Africa/Dar_es_Salaam,2024-11-18 16:00:00,3,0,0,0,8,0,0,0,2,0,1
CUST_004,APP_001,iOS,BUILD_006,Philippines,Africa/Banjul,2024-11-19 04:00:00,4,0,0,0,10,0,0,0,2,0,0
CUST_002,APP_005,iOS,BUILD_010,Falkland Islands (Malvinas),Europe/Monaco,2024-11-19 11:00:00,5,0,0,0,5,0,0,0,2,0,0
CUST_004,APP_008,Android,BUILD_007,Bosnia and Herzegovina,Africa/Gaborone,2024-11-18 18:00:00,5,0,0,0,4,0,0,0,4,0,0
CUST_002,APP_006,Android,BUILD_002,Bermuda,Africa/Mogadishu,2024-11-19 00:00:00,4,0,0,0,4,0,0,0,1,0,0
CUST_004,APP_005,Android,BUILD_010,Antigua and Barbuda,Africa/Tripoli,2024-11-19 05:00:00,3,0,0,0,8,0,0,0,2,0,0
CUST_001,APP_007,Android,BUILD_004,Saint Pierre and Miquelon,Asia/Aden,2024-11-18 22:00:00,8,0,0,1,9,0,0,0,3,0,0
CUST_000,APP_008,iOS,BUILD_003,Antarctica (the territory South of 60 deg S),Europe/Riga,2024-11-18 18:00:00,2,0,0,1,7,0,0,0,5,0,0
CUST_000,APP_000,iOS,BUILD_004,Uganda,Asia/Kabul,2024-11-18 22:00:00,1,0,0,0,7,0,0,1,1,0,0
CUST_001,APP_009,Windows,BUILD_010,Saint Pierre and Miquelon,Africa/Lome,2024-11-18 23:00:00,4,0,0,0,3,0,0,0,2,1,0
CUST_002,APP_001,iOS,BUILD_002,Antigua and Barbuda,Africa/Casablanca,2024-11-19 04:00:00,5,0,0,0,8,0,0,0,0,0,0
CUST_000,APP_003,Android,BUILD_011,Bosnia and Herzegovina,Africa/Mogadishu,2024-11-19 06:00:00,4,0,0,0,7,0,0,0,3,0,0
CUST_001,APP_004,Android,BUILD_006,Nauru,Africa/Dar_es_Salaam,2024-11-18 13:00:00,3,0,0,0,2,0,0,0,3,0,0
CUST_000,APP_003,iOS,BUILD_012,Benin,Africa/Dar_es_Salaam,2024-11-18 12:00:00,4,0,0,0,5,0,0,0,0,0,0
CUST_003,APP_001,Windows,BUILD_006,Bosnia and Herzegovina,Africa/Casablanca,2024-11-18 15:00:00,8,0,0,0,7,0,0,0,1,0,0
CUST_002,APP_006,Windows,BUILD_001,Bouvet Island (Bouvetoya),Europe/Minsk,2024-11-18 23:00:00,2,0,0,0,6,0,0,0,0,0,0
CUST_003,APP_001,iOS,BUILD_007,Bouvet Island (Bouvetoya),Europe/Riga,2024-11-18 23:00:00,2,0,0,0,1,0,0,0,0,0,0
CUST_002,APP_001,Android,BUILD_009,Philippines,Indian/Mauritius,2024-11-19 04:00:00,2,0,0,0,3,0,0,0,1,0,1
CUST_001,APP_007,Android,BUILD_007,Northern Mariana Islands,Asia/Dhaka,2024-11-19 03:00:00,7,1,0,0,4,0,0,0,3,0,0
CUST_002,APP_002,iOS,BUILD_009,Falkland Islands (Malvinas),Asia/Aden,2024-11-19 09:00:00,6,0,0,1,4,0,0,0,2,0,0
